"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4980","TC-06: Case sensitivity: Uppercase username","chromium","2026-04-06","passed","2026-04-06","Login Functionality - Complete Suite","login_allure.spec.js","",""
"","4763","TC-05: Case sensitivity: Lowercase username","chromium","2026-04-06","passed","2026-04-06","Login Functionality - Complete Suite","login_allure.spec.js","",""
"","9488","TC-04: Invalid password","chromium","2026-04-06","passed","2026-04-06","Login Functionality - Complete Suite","login_allure.spec.js","",""
"","9262","TC-09: Empty password","chromium","2026-04-06","passed","2026-04-06","Login Functionality - Complete Suite","login_allure.spec.js","",""
"","9504","TC-03: Invalid username","chromium","2026-04-06","passed","2026-04-06","Login Functionality - Complete Suite","login_allure.spec.js","",""
"","4730","TC-07: Case sensitivity: Mixed-case username","chromium","2026-04-06","passed","2026-04-06","Login Functionality - Complete Suite","login_allure.spec.js","",""
"Verify that a user can log in with valid credentials and see the secure area.","9914","TC-01: Successful login with valid credentials","chromium","2026-04-06","passed","2026-04-06","Login Functionality - Complete Suite","login_allure.spec.js","",""
"","4682","TC-10: Both fields empty","chromium","2026-04-06","passed","2026-04-06","Login Functionality - Complete Suite","login_allure.spec.js","",""
"","9341","TC-08: Empty username","chromium","2026-04-06","passed","2026-04-06","Login Functionality - Complete Suite","login_allure.spec.js","",""
"","11139","TC-02: Successful logout from secure area","chromium","2026-04-06","passed","2026-04-06","Login Functionality - Complete Suite","login_allure.spec.js","",""
